FREQUENCY,MAGNITUDE,PHASE
1.12201845430196e+01,-1.84961977770069e-01,1.01282070682800e-01
1.14815362149688e+01,-1.84960339010735e-01,9.49701560859222e-02
1.17489755493953e+01,-1.84958817478855e-01,8.87085935432355e-02
1.20226443461741e+01,-1.84957409947180e-01,8.24940632922502e-02
1.23026877081238e+01,-1.84956113430261e-01,7.63232704972160e-02
1.25892541179416e+01,-1.84954925178101e-01,7.01929435030784e-02
1.28824955169313e+01,-1.84953842670350e-01,6.40998321016563e-02
1.31825673855640e+01,-1.84952863610943e-01,5.80407058091580e-02
1.34896288259165e+01,-1.84951985923234e-01,5.20123521541314e-02
1.38038426460288e+01,-1.84951207745586e-01,4.60115749749191e-02
1.41253754462275e+01,-1.84950527427438e-01,4.00351927257235e-02
1.44543977074592e+01,-1.84949943525788e-01,3.40800367904196e-02
1.47910838816820e+01,-1.84949454802143e-01,2.81429498031701e-02
1.51356124843620e+01,-1.84949060219877e-01,2.22207839750110e-02
1.54881661891248e+01,-1.84948758942064e-01,1.63103994254859e-02
1.58489319246111e+01,-1.84948550329670e-01,1.04086625184555e-02
1.62181009735892e+01,-1.84948433940214e-01,4.51244420122495e-03
1.65958690743755e+01,-1.84948409526823e-01,-1.38138165393420e-03
1.69824365246174e+01,-1.84948477037721e-01,-7.27593990668580e-03
1.73780082874937e+01,-1.84948636616093e-01,-1.31743558048774e-02
1.77827941003892e+01,-1.84948888600423e-01,-1.90797566410100e-02
1.81970085860998e+01,-1.84949233525188e-01,-2.49952734097350e-02
1.86208713666286e+01,-1.84949672121991e-01,-3.09240424673729e-02
1.90546071796324e+01,-1.84950205321137e-01,-3.68692071942384e-02
1.94984459975804e+01,-1.84950834253567e-01,-4.28339196606326e-02
1.99526231496887e+01,-1.84951560253294e-01,-4.88213422975221e-02
2.04173794466952e+01,-1.84952384860212e-01,-5.48346495726030e-02
2.08929613085403e+01,-1.84953309823363e-01,-6.08770296727759e-02
2.13796208950222e+01,-1.84954337104656e-01,-6.69516861938710e-02
2.18776162394954e+01,-1.84955468883018e-01,-7.30618398384695e-02
2.23872113856833e+01,-1.84956707559021e-01,-7.92107301228318e-02
2.29086765276776e+01,-1.84958055759970e-01,-8.54016170937016e-02
2.34422881531991e+01,-1.84959516345475e-01,-9.16377830559887e-02
2.39883291901948e+01,-1.84961092413521e-01,-9.79225343122307e-02
2.45470891568502e+01,-1.84962787307026e-01,-1.04259202914669e-01
2.51188643150957e+01,-1.84964604620955e-01,-1.10651148430998e-01
2.57039578276885e+01,-1.84966548209911e-01,-1.17101759724579e-01
2.63026799189537e+01,-1.84968622196330e-01,-1.23614456750190e-01
2.69153480392690e+01,-1.84970830979242e-01,-1.30192692366153e-01
2.75422870333815e+01,-1.84973179243546e-01,-1.36839954163823e-01
2.81838293126444e+01,-1.84975671970000e-01,-1.43559766315475e-01
2.88403150312659e+01,-1.84978314445761e-01,-1.50355691441430e-01
2.95120922666637e+01,-1.84981112275594e-01,-1.57231332497529e-01
3.01995172040200e+01,-1.84984071393761e-01,-1.64190334683865e-01
3.09029543251358e+01,-1.84987198076611e-01,-1.71236387375826e-01
3.16227766016837e+01,-1.84990498955897e-01,-1.78373226078437e-01
3.23593656929627e+01,-1.84993981032815e-01,-1.85604634405036e-01
3.31131121482590e+01,-1.84997651692874e-01,-1.92934446081323e-01
3.38844156139201e+01,-1.85001518721547e-01,-2.00366546975859e-01
3.46736850452530e+01,-1.85005590320782e-01,-2.07904877158025e-01
3.54813389233574e+01,-1.85009875126405e-01,-2.15553432984605e-01
3.63078054770100e+01,-1.85014382226413e-01,-2.23316269215971e-01
3.71535229097171e+01,-1.85019121180262e-01,-2.31197501163097e-01
3.80189396320559e+01,-1.85024102039134e-01,-2.39201306866465e-01
3.89045144994279e+01,-1.85029335367248e-01,-2.47331929308029e-01
3.98107170553495e+01,-1.85034832264258e-01,-2.55593678657299e-01
4.07380277804111e+01,-1.85040604388799e-01,-2.63990934552925e-01
4.16869383470333e+01,-1.85046663983200e-01,-2.72528148420755e-01
4.26579518801591e+01,-1.85053023899437e-01,-2.81209845829672e-01
4.36515832240164e+01,-1.85059697626400e-01,-2.90040628886502e-01
4.46683592150961e+01,-1.85066699318474e-01,-2.99025178671104e-01
4.57088189614873e+01,-1.85074043825568e-01,-3.08168257712994e-01
4.67735141287196e+01,-1.85081746724582e-01,-3.17474712510808e-01
4.78630092322636e+01,-1.85089824352445e-01,-3.26949476095846e-01
4.89778819368444e+01,-1.85098293840751e-01,-3.36597570641073e-01
5.01187233627270e+01,-1.85107173152075e-01,-3.46424110116903e-01
5.12861383991362e+01,-1.85116481118049e-01,-3.56434302995185e-01
5.24807460249770e+01,-1.85126237479301e-01,-3.66633455002765e-01
5.37031796370250e+01,-1.85136462927283e-01,-3.77026971925929e-01
5.49540873857622e+01,-1.85147179148149e-01,-3.87620362467460e-01
5.62341325190346e+01,-1.85158408868723e-01,-3.98419241157477e-01
5.75439937337154e+01,-1.85170175904666e-01,-4.09429331319700e-01
5.88843655355586e+01,-1.85182505210966e-01,-4.20656468094664e-01
6.02559586074355e+01,-1.85195422934834e-01,-4.32106601521381e-01
6.16595001861479e+01,-1.85208956471117e-01,-4.43785799679103e-01
6.30957344480190e+01,-1.85223134520368e-01,-4.55700251890660e-01
6.45654229034652e+01,-1.85237987149657e-01,-4.67856271989147e-01
6.60693448007593e+01,-1.85253545856319e-01,-4.80260301649525e-01
6.76082975391978e+01,-1.85269843634691e-01,-4.92918913786847e-01
6.91830970918933e+01,-1.85286915046017e-01,-5.05838816022939e-01
7.07945784384134e+01,-1.85304796291707e-01,-5.19026854222988e-01
7.24435960074986e+01,-1.85323525290036e-01,-5.32490016104243e-01
7.41310241300914e+01,-1.85343141756490e-01,-5.46235434918225e-01
7.58577575029180e+01,-1.85363687287911e-01,-5.60270393208635e-01
7.76247116628688e+01,-1.85385205450609e-01,-5.74602326646535e-01
7.94328234724277e+01,-1.85407741872693e-01,-5.89238827944987e-01
8.12830516164095e+01,-1.85431344340700e-01,-6.04187650854881e-01
8.31763771102667e+01,-1.85456062900826e-01,-6.19456714244048e-01
8.51138038202372e+01,-1.85481949964932e-01,-6.35054106261599e-01
8.70963589956076e+01,-1.85509060421544e-01,-6.50988088589615e-01
8.91250938133741e+01,-1.85537451752119e-01,-6.67267100784197e-01
9.12010839355905e+01,-1.85567184152738e-01,-6.83899764707927e-01
9.33254300796986e+01,-1.85598320661597e-01,-7.00894889056144e-01
9.54992586021431e+01,-1.85630927292477e-01,-7.18261473978934e-01
9.77237220955805e+01,-1.85665073174490e-01,-7.36008715801139e-01
9.99999999999995e+01,-1.85700830698448e-01,-7.54146011842752e-01
1.02329299228075e+02,-1.85738275670074e-01,-7.72682965341900e-01
1.04712854805089e+02,-1.85777487470465e-01,-7.91629390482646e-01
1.07151930523760e+02,-1.85818549224085e-01,-8.10995317530239e-01
1.09647819614318e+02,-1.85861547974674e-01,-8.30790998075863e-01
1.12201845430196e+02,-1.85906574869407e-01,-8.51026910393691e-01
1.14815362149688e+02,-1.85953725351751e-01,-8.71713764912249e-01
1.17489755493952e+02,-1.86003099363353e-01,-8.92862509803214e-01
1.20226443461741e+02,-1.86054801555427e-01,-9.14484336689478e-01
1.23026877081237e+02,-1.86108941510079e-01,-9.36590686475611e-01
1.25892541179416e+02,-1.86165633972025e-01,-9.59193255303024e-01
1.28824955169313e+02,-1.86224999091182e-01,-9.82304000632520e-01
1.31825673855640e+02,-1.86287162676656e-01,-1.00593514745699e+00
1.34896288259165e+02,-1.86352256462644e-01,-1.03009919464670e+00
1.38038426460288e+02,-1.86420418386833e-01,-1.05480892143037e+00
1.41253754462275e+02,-1.86491792881816e-01,-1.08007739401400e+00
1.44543977074592e+02,-1.86566531180216e-01,-1.10591797234120e+00
1.47910838816820e+02,-1.86644791634077e-01,-1.13234431699676e+00
1.51356124843620e+02,-1.86726740049265e-01,-1.15937039625729e+00
1.54881661891247e+02,-1.86812550035491e-01,-1.18701049329081e+00
1.58489319246110e+02,-1.86902403372759e-01,-1.21527921350896e+00
1.62181009735892e+02,-1.86996490394956e-01,-1.24419149207402e+00
1.65958690743755e+02,-1.87095010391386e-01,-1.27376260156397e+00
1.69824365246173e+02,-1.87198172027115e-01,-1.30400815979837e+00
1.73780082874936e+02,-1.87306193782954e-01,-1.33494413782791e+00
1.77827941003891e+02,-1.87419304416004e-01,-1.36658686809040e+00
1.81970085860997e+02,-1.87537743441752e-01,-1.39895305273618e+00
1.86208713666286e+02,-1.87661761638646e-01,-1.43205977212581e+00
1.90546071796323e+02,-1.87791621576255e-01,-1.46592449350251e+00
1.94984459975803e+02,-1.87927598168056e-01,-1.50056507984267e+00
1.99526231496887e+02,-1.88069979250045e-01,-1.53599979888688e+00
2.04173794466952e+02,-1.88219066186242e-01,-1.57224733235381e+00
2.08929613085403e+02,-1.88375174502507e-01,-1.60932678534063e+00
2.13796208950222e+02,-1.88538634549784e-01,-1.64725769591140e+00
2.18776162394954e+02,-1.88709792198279e-01,-1.68606004487667e+00
2.23872113856832e+02,-1.88889009563881e-01,-1.72575426576671e+00
2.29086765276776e+02,-1.89076665768371e-01,-1.76636125500029e+00
2.34422881531991e+02,-1.89273157734939e-01,-1.80790238225186e+00
2.39883291901947e+02,-1.89478901020620e-01,-1.85039950101862e+00
2.45470891568501e+02,-1.89694330687367e-01,-1.89387495939024e+00
2.51188643150956e+02,-1.89919902213448e-01,-1.93835161102227e+00
2.57039578276885e+02,-1.90156092447120e-01,-1.98385282631577e+00
2.63026799189536e+02,-1.90403400604369e-01,-2.03040250380395e+00
2.69153480392690e+02,-1.90662349312808e-01,-2.07802508174759e+00
2.75422870333815e+02,-1.90933485703800e-01,-2.12674554994034e+00
2.81838293126443e+02,-1.91217382554949e-01,-2.17658946172443e+00
2.88403150312659e+02,-1.91514639485281e-01,-2.22758294621773e+00
2.95120922666637e+02,-1.91825884205447e-01,-2.27975272075220e+00
3.01995172040200e+02,-1.92151773825435e-01,-2.33312610352408e+00
3.09029543251357e+02,-1.92492996222371e-01,-2.38773102645482e+00
3.16227766016836e+02,-1.92850271471058e-01,-2.44359604826287e+00
3.23593656929626e+02,-1.93224353340108e-01,-2.50075036774413e+00
3.31131121482589e+02,-1.93616030856525e-01,-2.55922383726057e+00
3.38844156139200e+02,-1.94026129941768e-01,-2.61904697643370e+00
3.46736850452529e+02,-1.94455515122513e-01,-2.68025098604143e+00
3.54813389233573e+02,-1.94905091319342e-01,-2.74286776211424e+00
3.63078054770099e+02,-1.95375805716762e-01,-2.80692991022719e+00
3.71535229097170e+02,-1.95868649718196e-01,-2.87247075998312e+00
3.80189396320558e+02,-1.96384660989510e-01,-2.93952437968171e+00
3.89045144994278e+02,-1.96924925595050e-01,-3.00812559116888e+00
3.98107170553494e+02,-1.97490580230091e-01,-3.07830998485863e+00
4.07380277804110e+02,-1.98082814553844e-01,-3.15011393492037e+00
4.16869383470332e+02,-1.98702873627395e-01,-3.22357461462259e+00
4.26579518801589e+02,-1.99352060460918e-01,-3.29873001182276e+00
4.36515832240163e+02,-2.00031738674910e-01,-3.37561894459306e+00
4.46683592150960e+02,-2.00743335280140e-01,-3.45428107696868e+00
4.57088189614872e+02,-2.01488343581356e-01,-3.53475693480605e+00
4.67735141287195e+02,-2.02268326209841e-01,-3.61708792173551e+00
4.78630092322635e+02,-2.03084918290128e-01,-3.70131633519150e+00
4.89778819368442e+02,-2.03939830746446e-01,-3.78748538250304e+00
5.01187233627268e+02,-2.04834853754462e-01,-3.87563919702327e+00
5.12861383991361e+02,-2.05771860344292e-01,-3.96582285427763e+00
5.24807460249769e+02,-2.06752810160760e-01,-4.05808238810529e+00
5.37031796370249e+02,-2.07779753387134e-01,-4.15246480676912e+00
5.49540873857620e+02,-2.08854834838822e-01,-4.24901810900497e+00
5.62341325190345e+02,-2.09980298233522e-01,-4.34779129998030e+00
5.75439937337152e+02,-2.11158490644706e-01,-4.44883440712771e+00
5.88843655355584e+02,-2.12391867145328e-01,-4.55219849581834e+00
6.02559586074353e+02,-2.13682995648906e-01,-4.65793568483516e+00
6.16595001861477e+02,-2.15034561955260e-01,-4.76609916160376e+00
6.30957344480188e+02,-2.16449375008386e-01,-4.87674319713590e+00
6.45654229034650e+02,-2.17930372374063e-01,-4.98992316063525e+00
6.60693448007591e+02,-2.19480625944885e-01,-5.10569553371263e+00
6.76082975391976e+02,-2.21103347880709e-01,-5.22411792415452e+00
6.91830970918931e+02,-2.22801896792370e-01,-5.34524907918156e+00
7.07945784384132e+02,-2.24579784176838e-01,-5.46914889813272e+00
7.24435960074984e+02,-2.26440681111932e-01,-5.59587844450324e+00
7.41310241300911e+02,-2.28388425218818e-01,-5.72549995726102e+00
7.58577575029177e+02,-2.30427027900486e-01,-5.85807686135963e+00
7.76247116628685e+02,-2.32560681864509e-01,-5.99367377736145e+00
7.94328234724275e+02,-2.34793768938198e-01,-6.13235653007758e+00
8.12830516164092e+02,-2.37130868184350e-01,-6.27419215612563e+00
8.31763771102664e+02,-2.39576764325491e-01,-6.41924891029840e+00
8.51138038202369e+02,-2.42136456484599e-01,-6.56759627063264e+00
8.70963589956073e+02,-2.44815167249765e-01,-6.71930494205497e+00
8.91250938133738e+02,-2.47618352070284e-01,-6.87444685847944e+00
9.12010839355902e+02,-2.50551708991083e-01,-7.03309518321927e+00
9.33254300796983e+02,-2.53621188732177e-01,-7.19532430756937e+00
9.54992586021428e+02,-2.56833005119181e-01,-7.36120984740625e+00
9.77237220955802e+02,-2.60193645870489e-01,-7.53082863764330e+00
9.99999999999991e+02,-2.63709883745957e-01,-7.70425872437020e+00
1.02329299228075e+03,-2.67388788061220e-01,-7.88157935449491e+00
1.04712854805089e+03,-2.71237736570847e-01,-8.06287096269723e+00
1.07151930523760e+03,-2.75264427722577e-01,-8.24821515549195e+00
1.09647819614318e+03,-2.79476893283696e-01,-8.43769469218973e+00
1.12201845430195e+03,-2.83883511339421e-01,-8.63139346253217e+00
1.14815362149687e+03,-2.88493019661576e-01,-8.82939646076639e+00
1.17489755493952e+03,-2.93314529444486e-01,-9.03178975591426e+00
1.20226443461740e+03,-2.98357539402947e-01,-9.23866045797907e+00
1.23026877081237e+03,-3.03631950225401e-01,-9.45009667981934e+00
1.25892541179416e+03,-3.09148079373163e-01,-9.66618749441284e+00
1.28824955169312e+03,-3.14916676214224e-01,-9.88702288721685e+00
1.31825673855640e+03,-3.20948937477383e-01,-1.01126937033221e+01
1.34896288259164e+03,-3.27256523009858e-01,-1.03432915890888e+01
1.38038426460287e+03,-3.33851571818110e-01,-1.05789089279372e+01
1.41253754462274e+03,-3.40746718368456e-01,-1.08196387699616e+01
1.44543977074591e+03,-3.47955109120237e-01,-1.10655747550212e+01
1.47910838816819e+03,-3.55490419260362e-01,-1.13168110289588e+01
1.51356124843619e+03,-3.63366869603754e-01,-1.15734421525830e+01
1.54881661891247e+03,-3.71599243619729e-01,-1.18355630030534e+01
1.58489319246110e+03,-3.80202904539165e-01,-1.21032686672925e+01
1.62181009735891e+03,-3.89193812492250e-01,-1.23766543270526e+01
1.65958690743754e+03,-3.98588541621078e-01,-1.26558151352634e+01
1.69824365246173e+03,-4.08404297105015e-01,-1.29408460832824e+01
1.73780082874936e+03,-4.18658932031067e-01,-1.32318418586805e+01
1.77827941003891e+03,-4.29370964034114e-01,-1.35288966931944e+01
1.81970085860997e+03,-4.40559591625826e-01,-1.38321042004951e+01
1.86208713666285e+03,-4.52244710122954e-01,-1.41415572034262e+01
1.90546071796323e+03,-4.64446927078713e-01,-1.44573475503890e+01
1.94984459975803e+03,-4.77187577112975e-01,-1.47795659205709e+01
1.99526231496886e+03,-4.90488736028989e-01,-1.51083016177400e+01
2.04173794466951e+03,-5.04373234095963e-01,-1.54436423523568e+01
2.08929613085402e+03,-5.18864668368884e-01,-1.57856740118003e+01
2.13796208950221e+03,-5.33987413907991e-01,-1.61344804185359e+01
2.18776162394953e+03,-5.49766633752308e-01,-1.64901430761136e+01
2.23872113856832e+03,-5.66228287493077e-01,-1.68527409029350e+01
2.29086765276775e+03,-5.83399138284764e-01,-1.72223499537937e+01
2.34422881531990e+03,-6.01306758123408e-01,-1.75990431292651e+01
2.39883291901947e+03,-6.19979531214618e-01,-1.79828898731013e+01
2.45470891568501e+03,-6.39446655246284e-01,-1.83739558578731e+01
2.51188643150955e+03,-6.59738140375132e-01,-1.87723026591999e+01
2.57039578276884e+03,-6.80884805730308e-01,-1.91779874190116e+01
2.63026799189535e+03,-7.02918273233011e-01,-1.95910624984003e+01
2.69153480392689e+03,-7.25870958527602e-01,-2.00115751207422e+01
2.75422870333814e+03,-7.49776058817808e-01,-2.04395670058997e+01
2.81838293126442e+03,-7.74667537401144e-01,-2.08750739964535e+01
2.88403150312658e+03,-8.00580104696022e-01,-2.13181256770577e+01
2.95120922666635e+03,-8.27549195559554e-01,-2.17687449881674e+01
3.01995172040198e+03,-8.55610942699350e-01,-2.22269478355424e+01
3.09029543251356e+03,-8.84802145990713e-01,-2.26927426970951e+01
3.16227766016835e+03,-9.15160237521375e-01,-2.31661302288193e+01
3.23593656929625e+03,-9.46723242199080e-01,-2.36471028717007e+01
3.31131121482588e+03,-9.79529733773733e-01,-2.41356444616785e+01
3.38844156139199e+03,-1.01361878614572e+00,-2.46317298448970e+01
3.46736850452528e+03,-1.04902991985453e+00,-2.51353245006431e+01
3.54813389233572e+03,-1.08580304366782e+00,-2.56463841745164e+01
3.63078054770097e+03,-1.12397839122144e+00,-2.61648545245348e+01
3.71535229097168e+03,-1.16359645269306e+00,-2.66906707829940e+01
3.80189396320557e+03,-1.20469790152921e+00,-2.72237574370267e+01
3.89045144994276e+03,-1.24732351628497e+00,-2.77640279308986e+01
3.98107170553493e+03,-1.29151409767780e+00,-2.83113843931469e+01
4.07380277804108e+03,-1.33731038100381e+00,-2.88657173917270e+01
