Freq.	V(out)
7.24435960074986e+01	(1.71983518851992e+01dB,-7.88790311443089e+01°)
7.41310241300914e+01	(1.74136444215068e+01dB,-7.94039155773345e+01°)
7.58577575029180e+01	(1.76280841640065e+01dB,-7.99250978825713e+01°)
7.76247116628688e+01	(1.78416931800608e+01dB,-8.04427235018684e+01°)
7.94328234724277e+01	(1.80544924869396e+01dB,-8.09569422459353e+01°)
8.12830516164095e+01	(1.82665020472125e+01dB,-8.14679080038083e+01°)
8.31763771102667e+01	(1.84777407655093e+01dB,-8.19757784625169e+01°)
8.51138038202372e+01	(1.86882264864712e+01dB,-8.24807148368573e+01°)
8.70963589956076e+01	(1.88979759937271e+01dB,-8.29828816091016e+01°)
8.91250938133741e+01	(1.91070050097373e+01dB,-8.34824462783975e+01°)
9.12010839355905e+01	(1.93153281963567e+01dB,-8.39795791195472e+01°)
9.33254300796986e+01	(1.95229591559775e+01dB,-8.44744529507959e+01°)
9.54992586021431e+01	(1.97299104331235e+01dB,-8.49672429102054e+01°)
9.77237220955805e+01	(1.99361935163747e+01dB,-8.54581262401423e+01°)
9.99999999999995e+01	(2.01418188405139e+01dB,-8.59472820793681e+01°)
1.02329299228075e+02	(2.03467957887929e+01dB,-8.64348912621801e+01°)
1.04712854805089e+02	(2.05511326952286e+01dB,-8.69211361240221e+01°)
1.07151930523760e+02	(2.07548368468475e+01dB,-8.74062003129524e+01°)
1.09647819614318e+02	(2.09579144858053e+01dB,-8.78902686063360e+01°)
1.12201845430196e+02	(2.11603708113204e+01dB,-8.83735267321035e+01°)
1.14815362149688e+02	(2.13622099813664e+01dB,-8.88561611939057e+01°)
1.17489755493952e+02	(2.15634351140791e+01dB,-8.93383590994745e+01°)
1.20226443461741e+02	(2.17640482888437e+01dB,-8.98203079914936e+01°)
1.23026877081237e+02	(2.19640505470338e+01dB,-9.03021956802707e+01°)
1.25892541179416e+02	(2.21634418923859e+01dB,-9.07842100774974e+01°)
1.28824955169313e+02	(2.23622212910000e+01dB,-9.12665390303814e+01°)
1.31825673855640e+02	(2.25603866709659e+01dB,-9.17493701554313e+01°)
1.34896288259165e+02	(2.27579349216248e+01dB,-9.22328906711781e+01°)
1.38038426460288e+02	(2.29548618924829e+01dB,-9.27172872291199e+01°)
1.41253754462275e+02	(2.31511623918050e+01dB,-9.32027457421819e+01°)
1.44543977074592e+02	(2.33468301849210e+01dB,-9.36894512099936e+01°)
1.47910838816820e+02	(2.35418579922932e+01dB,-9.41775875402963e+01°)
1.51356124843620e+02	(2.37362374873948e+01dB,-9.46673373658073e+01°)
1.54881661891247e+02	(2.39299592944644e+01dB,-9.51588818558848e+01°)
1.58489319246110e+02	(2.41230129862074e+01dB,-9.56524005223596e+01°)
1.62181009735892e+02	(2.43153870815269e+01dB,-9.61480710189213e+01°)
1.65958690743755e+02	(2.45070690433736e+01dB,-9.66460689334775e+01°)
1.69824365246173e+02	(2.46980452768160e+01dB,-9.71465675729351e+01°)
1.73780082874936e+02	(2.48883011274410e+01dB,-9.76497377398912e+01°)
1.77827941003891e+02	(2.50778208802035e+01dB,-9.81557475007609e+01°)
